id,fecha,cliente,asunto,cuerpo
R-11,2026-09-08,CLIENTE_8,Sucursal equivocada,"El pedido 9098 lo dejaron en la sucursal de Venado y nosotros retiramos en Firmat. Son 60 km."
R-12,2026-09-08,CLIENTE_4,Sin novedades,"Hace 10 días pedí el estado del pedido 9107 y nadie me contestó."
R-13,2026-09-08,CLIENTE_12,Duplicado,"Necesito un duplicado de la factura B-0004-00012877 para mandarle al contador."
R-14,2026-09-08,CLIENTE_6,Varios,"Dos cosas: el pedido 9120 llegó con 3 días de atraso y encima la factura vino con el CUIT viejo. Necesito la factura corregida para cerrar el mes."
R-15,2026-09-08,CLIENTE_5,Germinacion,"Mandamos a analizar la semilla del lote y el PG da 78% cuando el rótulo dice 85%."
R-16,2026-09-09,CLIENTE_1,Etiqueta,"El bidón vino sin etiqueta de seguridad. No lo vamos a usar así."
R-17,2026-09-09,CLIENTE_10,Fertilizante,"Tenemos la aplicación programada para el 11 y del pedido 9125 no tengo fecha de entrega."
R-18,2026-09-09,CLIENTE_13,Consulta,"¿Siguen trayendo el coadyuvante ese que compramos en 2024? No lo veo en la lista."
R-19,2026-09-09,CLIENTE_2,Asesor,"Preferiría que nos atienda otro asesor. La última vez nos habló bastante mal."
R-20,2026-09-09,CLIENTE_14,Precio,"El presupuesto que firmamos decía otro precio unitario que el que salió en la factura."
R-21,2026-09-10,CLIENTE_9,Adelanto,"¿Se puede adelantar una semana la entrega del 9131? Si no se puede, no pasa nada."
R-22,2026-09-10,CLIENTE_15,Maiz,"Después de la aplicación se nos dañaron 12 hectáreas de maíz. Estamos evaluando un reclamo formal."
R-23,2026-09-10,CLIENTE_3,Certificado,"Necesito el certificado de análisis del lote de semilla del pedido 9088."
